temp,dew,humidity,windspeed
28.5,19.1,59.8,7.6
29.9,18.9,54.1,11.2
29.2,18.8,56.4,14.8
29.4,17.2,50.8,11.2
28.7,18.5,55.7,7.6
27.5,19.3,63.4,6.6
28.6,20.3,63.5,14.8
29.8,19.5,57.2,7.6
29.9,18.9,56.1,7.6
28.7,18.9,58.1,7.6
27.4,19.7,65.7,11.2
26.4,20.6,72.7,14.8
26.3,18.3,64.3,7.6
26.9,18.3,62,11.2
26.9,15.8,56.1,8.3
26.6,15.2,53.6,7.6
25,16.8,64.4,0
25.4,17.3,63,7.6
24.6,18.6,71.2,6.8
25,18.9,71,9
23.2,19.6,81.1,11.2
22.8,19.1,81.7,11.2
21.1,20,93.9,7.6
21.4,19.7,90.2,7.6
22.6,18.7,80.9,11.2
22,17.4,77.4,7.6
21.3,18,82.5,11.2
19.7,16.5,83.5,11.9
20.2,16.1,80.1,13
19.6,15,78.3,7.6
20.6,14.8,72.1,7.6
